PDB   Pock     Target Vol  Pock Vol   Int Vol  Int%  #hits       Exp. Method                       Cofactor(s)                 Protein Name
5SOL  pocket18 1166.496   226.3365   225.020  0.192       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket19 1166.496   234.8984   233.885  0.200       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket5  1166.496   206.5062   205.651  0.176       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket11 1166.496   324.7991   318.744  0.273       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOV  pocket11 1166.496   234.5297   233.365  0.200       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket2  1166.496   282.3879   280.266  0.240       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOV  pocket15 1166.496   242.2568   240.682  0.206       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket15 1166.496   253.9803   252.017  0.216       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket18 1166.496   291.3893   288.793  0.247       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOP  pocket16 1166.496   233.9132   232.408  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket10 1166.496   371.6091   366.368  0.314       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket8  1166.496   291.2404   288.537  0.247       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOV  pocket3  1166.496   219.9580   218.552  0.187       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket15 1166.496   280.5677   277.456  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket16 1166.496   252.2306   250.445  0.214       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket8  1166.496   291.2351   288.263  0.247       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket14 1166.496   359.6821   353.644  0.303       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT  pocket4  1166.496   288.1353   284.680  0.244       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket18 1166.496   219.1149   217.759  0.186       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket6  1166.496   434.3886   420.183  0.360       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket23 1166.496   306.4475   303.675  0.260       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOY  pocket16 1166.496   292.0928   288.909  0.247       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOP  pocket10 1166.496   335.5507   328.499  0.281       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket14 1166.496   238.9392   237.694  0.203       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket9  1166.496   413.0861   401.416  0.344       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket18 1166.496   235.9666   235.788  0.202       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket7  1166.496   282.3243   280.154  0.240       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket17 1166.496   229.8473   228.691  0.196       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOL  pocket9  1166.496   292.0196   289.220  0.247       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket16 1166.496   241.1859   239.905  0.205       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket18 1166.496   283.9131   281.157  0.241       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket22 1166.496   307.8330   302.981  0.259       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket6  1166.496   203.8933   203.359  0.174       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket15 1166.496   248.2310   246.978  0.211       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket2  1166.496   278.7719   277.224  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOY  pocket18 1166.496   233.9338   232.993  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket13 1166.496   341.9998   336.819  0.288       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket4  1166.496   217.5401   216.156  0.185       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket16 1166.496   351.2953   344.790  0.295       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket11 1166.496   421.2753   408.491  0.350       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOM  pocket12 1166.496   295.6927   292.672  0.250       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket8  1166.496   280.9548   277.986  0.238       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket17 1166.496   235.9258   234.914  0.201       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket17 1166.496   221.8192   220.171  0.188       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT  pocket11 1166.496   280.7050   277.518  0.237       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOL  pocket19 1166.496   315.8032   310.776  0.266       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket15 1166.496   262.4597   260.617  0.223       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket15 1166.496   234.2952   232.553  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket21 1166.496   219.5886   217.808  0.186       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOY  pocket12 1166.496   334.8469   331.462  0.284       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket20 1166.496   236.3876   235.329  0.201       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT  pocket16 1166.496   373.7156   368.278  0.315       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket6  1166.496   310.1218   307.388  0.263       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket3  1166.496   280.8647   278.689  0.238       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket14 1166.496   316.1881   313.312  0.268       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket20 1166.496   314.3447   309.408  0.265       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket8  1166.496   308.6128   306.132  0.262       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket5  1166.496   298.5109   294.779  0.252       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket12 1166.496   283.3456   279.974  0.240       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket9  1166.496   327.4549   324.666  0.278       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket4  1166.496   206.7572   206.089  0.176       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket5  1166.496   287.3579   284.771  0.244       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket12 1166.496   277.7389   274.104  0.234       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOS  pocket9  1166.496   308.0193   305.918  0.262       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket11 1166.496   232.3059   230.477  0.197       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket20 1166.496   313.8741   310.658  0.266       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket9  1166.496   436.8312   417.876  0.358       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket7  1166.496   339.1025   336.181  0.288       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOL  pocket12 1166.496   309.1558   307.829  0.263       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket13 1166.496   304.6863   302.601  0.259       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket10 1166.496   369.1557   361.596  0.309       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket10 1166.496   373.8491   368.430  0.315       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOJ  pocket10 1166.496   299.1678   296.278  0.253       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket2  1166.496   219.1224   217.713  0.186       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOX  pocket9  1166.496   310.6811   307.881  0.263       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOU  pocket17 1166.496   234.3668   232.930  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket18 1166.496   233.4116   231.894  0.198       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT  pocket20 1166.496   308.7279   306.152  0.262       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOO  pocket5  1166.496   282.0945   279.560  0.239       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket3  1166.496   216.2952   214.596  0.183       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOL  pocket13 1166.496   335.2558   327.285  0.280       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOI  pocket12 1166.496   305.0722   303.756  0.260       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket5  1166.496   416.5648   405.235  0.347       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket3  1166.496   207.8801   206.826  0.177       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOK  pocket4  1166.496   291.9363   287.615  0.246       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket14 1166.496   233.7584   232.604  0.199       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOW  pocket13 1166.496   261.5530   259.426  0.222       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOZ  pocket12 1166.496   316.8533   313.529  0.268       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SON  pocket19 1166.496   325.6838   318.447  0.272       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOR  pocket10 1166.496   300.7489   295.402  0.253       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOL  pocket5  1166.496   268.2083   266.078  0.228       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOQ  pocket8  1166.496   343.9186   341.753  0.292       0  X-RAY DIFFRACTION: 1.05 ANGSTROMS     None  NON-STRUCTURAL PROTEIN 3
5SOT;pocket3;1166.49628;219.360435;218.296301;0.1871384459108605;0;X-RAY DIFFRACTION: 1.05 ANGSTROMS;None;NON-STRUCTURAL PROTEIN 3
5SOT;pocket3;1166.49628;219.082967;217.684724;0.186614160484078;0;X-RAY DIFFRACTION: 1.05 ANGSTROMS;None;NON-STRUCTURAL PROTEIN 3
